Date,Ticker,Weighted compound sentiment score
2011-05-10,MSFT,0.4344952009318578
2011-05-19,MSFT,0.07661586935495869
2011-05-23,MSFT,-0.4767
2011-06-01,MSFT,-0.296
2011-06-28,MSFT,0.296
2011-07-05,MSFT,-0.3818
2011-07-13,MSFT,0.4019
2011-07-18,MSFT,-0.0772
2011-07-21,MSFT,0.4619
2011-08-04,MSFT,0.49055725385952353
2011-08-05,MSFT,0.7944
2011-08-08,MSFT,-0.4705
2011-08-09,MSFT,0.7984
2011-08-19,MSFT,0.3612
2011-08-23,MSFT,0.6597
2011-08-26,MSFT,0.0
2011-08-29,MSFT,0.6597
2011-09-13,MSFT,0.0
2011-09-14,MSFT,0.9712
2011-09-28,MSFT,0.6369
2011-10-05,MSFT,0.0
2011-10-20,MSFT,0.2064
2011-11-03,MSFT,0.6548673735896364
2011-11-17,MSFT,0.6808
2011-11-21,MSFT,0.5267
2011-11-28,MSFT,-0.0439
2011-11-30,MSFT,-0.9159
2011-12-06,MSFT,0.9299
2011-12-22,MSFT,-0.25
2012-01-05,MSFT,0.5413
2012-01-19,MSFT,-0.10070000000000001
2012-02-09,MSFT,0.8186027485951626
2012-02-10,MSFT,0.8472449474535165
2012-02-16,MSFT,0.4396833324308225
2012-03-01,MSFT,-0.4834
2012-03-08,MSFT,0.5994
2012-03-21,MSFT,0.8591
2012-03-30,MSFT,0.7003
2012-04-04,MSFT,-0.5574
2012-04-05,MSFT,0.25
2012-04-10,MSFT,0.0772
2012-04-12,MSFT,-0.1531
2012-04-19,MSFT,0.458030750168957
2012-04-20,MSFT,0.8801
2012-05-03,MSFT,0.5646870217487794
2012-05-04,MSFT,0.7596
2012-05-23,MSFT,-0.5106
2012-05-24,MSFT,-0.5212
2012-05-30,MSFT,0.7609
2012-06-06,MSFT,0.0258
2012-06-19,MSFT,0.6124
2012-07-09,MSFT,0.1779
2012-07-12,MSFT,-0.8658000000000001
2012-08-02,MSFT,0.6859
2012-08-03,MSFT,0.7577000000000002
2012-08-21,MSFT,0.7109
2012-09-05,MSFT,0.7906
2012-09-11,MSFT,-0.6808
2012-10-11,MSFT,0.3887
2012-10-22,MSFT,-0.6486
2012-11-01,MSFT,0.5905
2012-11-12,MSFT,0.936
2012-11-13,MSFT,-0.5842
2013-01-10,MSFT,0.872
2013-02-07,MSFT,0.6859
2013-02-08,MSFT,0.9394
2013-02-27,MSFT,-0.1675
2013-04-11,MSFT,-0.7086758769143905
2013-04-16,MSFT,0.4939
2013-04-18,MSFT,0.2771
2013-04-19,MSFT,0.8571000000000001
2013-04-22,MSFT,0.296
2013-05-02,MSFT,0.6859
2013-05-03,MSFT,0.9791
2013-05-13,MSFT,0.4404
2013-06-06,MSFT,0.9382
2013-06-12,MSFT,0.1333
2013-06-14,MSFT,0.0
2013-06-19,MSFT,0.7158999999999999
2013-07-18,MSFT,0.0559
2013-07-19,MSFT,0.4258820083682009
2013-07-29,MSFT,-0.2732
2013-08-01,MSFT,0.7876
2013-08-12,MSFT,0.2064
2013-08-15,MSFT,-0.4019
2013-08-19,MSFT,0.4404
2013-08-22,MSFT,0.7184
2013-08-23,MSFT,0.0
2013-09-20,MSFT,-0.5267
2013-09-24,MSFT,0.7184
2013-10-15,MSFT,0.5574
2013-10-24,MSFT,0.0
2013-10-29,MSFT,0.0
2013-11-15,MSFT,0.296
2013-11-20,MSFT,-0.0772
2013-12-06,MSFT,0.2732
2013-12-18,MSFT,0.262114373088685
2014-01-02,MSFT,0.6369
2014-01-06,MSFT,0.0
2014-01-07,MSFT,-0.3612
2014-01-10,MSFT,-0.8442
2014-01-16,MSFT,0.0
2014-01-23,MSFT,0.0
2014-01-24,MSFT,0.1779
2014-02-06,MSFT,0.3887
2014-02-07,MSFT,0.0387
2014-02-19,MSFT,0.7292
2014-02-25,MSFT,0.0258
2014-02-26,MSFT,0.5994
2014-03-18,MSFT,-0.0039
2014-03-28,MSFT,0.7844999999999999
2014-04-08,MSFT,0.5757796587576647
2014-04-09,MSFT,0.7184
2014-04-17,MSFT,-0.505
2014-04-24,MSFT,0.5162
2014-05-01,MSFT,0.3486252227252811
2014-05-02,MSFT,0.5574
2014-07-16,MSFT,0.0
2014-07-17,MSFT,-0.4019
2014-07-22,MSFT,0.7475
2014-07-23,MSFT,0.8221
2014-07-31,MSFT,0.3887
2014-08-01,MSFT,0.802
2014-09-10,MSFT,0.4215
2014-09-17,MSFT,0.5994
2014-09-26,MSFT,0.4619
2014-10-20,MSFT,0.254
2014-10-23,MSFT,0.5634
2014-10-30,MSFT,0.0
2014-10-31,MSFT,0.0
2014-11-04,MSFT,0.2732
2014-11-17,MSFT,0.4019
2014-12-16,MSFT,0.6249
2014-12-18,MSFT,0.3612
2015-01-21,MSFT,0.3167
2015-01-23,MSFT,0.5106
2015-01-26,MSFT,0.6772
2015-02-04,MSFT,0.0
2015-02-05,MSFT,0.2064
2015-02-06,MSFT,0.8576
2015-02-26,MSFT,-0.25
2015-04-10,MSFT,0.9433
2015-04-20,MSFT,-0.1192
2015-04-23,MSFT,0.3887
2015-04-24,MSFT,0.8684
2015-04-30,MSFT,0.2771
2015-05-01,MSFT,-0.709
2015-05-05,MSFT,0.0
2015-05-22,MSFT,0.10269999999999999
2015-06-01,MSFT,0.1779
2015-06-02,MSFT,0.0
2015-06-03,MSFT,0.5994
2015-06-29,MSFT,0.128
2015-07-13,MSFT,0.25
2015-07-15,MSFT,0.0
2015-07-17,MSFT,-0.2325
2015-07-21,MSFT,0.2064
2015-07-22,MSFT,0.2556
2015-07-27,MSFT,-0.5267
2015-07-30,MSFT,0.0
2015-07-31,MSFT,-0.10269999999999999
2015-10-22,MSFT,0.6962682218114602
2015-10-23,MSFT,0.14659999999999998
2015-10-29,MSFT,0.0
2016-01-13,MSFT,-0.5489
2016-01-15,MSFT,0.4834
2016-01-28,MSFT,0.145
2016-01-29,MSFT,-0.4023
2016-02-04,MSFT,0.1803
2016-02-05,MSFT,-0.1461
2016-02-08,MSFT,0.6249
2016-03-16,MSFT,-0.5574
2016-04-21,MSFT,0.1284288951310861
2016-04-28,MSFT,-0.0941
2016-05-02,MSFT,0.2424
2016-06-01,MSFT,0.296
2016-06-09,MSFT,0.3182
2016-06-13,MSFT,0.20099999999999993
2016-07-19,MSFT,0.0
2016-10-20,MSFT,0.4619
2016-10-21,MSFT,0.1838
2017-01-27,MSFT,0.0
2017-04-24,MSFT,0.4019
2017-04-27,MSFT,-0.4215
2017-07-20,MSFT,0.0
2017-08-22,MSFT,0.22629999999999997
2017-10-05,MSFT,0.0
2017-10-18,MSFT,-0.5994
2017-10-26,MSFT,-0.5397
2017-10-27,MSFT,0.0
2017-11-02,MSFT,0.0
2017-11-29,MSFT,0.4019
2017-12-04,MSFT,0.128
2017-12-05,MSFT,0.0
2017-12-08,MSFT,0.0
2018-01-04,MSFT,0.4019
2018-01-12,MSFT,0.2108
2018-01-31,MSFT,0.296
2018-02-01,MSFT,0.3923
2018-02-06,MSFT,0.5106
2018-02-23,MSFT,0.0
2018-02-27,MSFT,0.5574
2018-03-02,MSFT,0.4404
2018-03-05,MSFT,0.0
2018-03-06,MSFT,0.4939
2018-03-13,MSFT,0.0
2018-03-15,MSFT,0.0
2018-03-16,MSFT,0.0
2018-03-23,MSFT,-0.5859
2018-03-26,MSFT,0.0
2018-03-29,MSFT,0.0
2018-04-02,MSFT,0.0
2018-04-03,MSFT,0.7906
2018-04-04,MSFT,0.0
2018-04-17,MSFT,-0.049900000000000055
2018-04-24,MSFT,-0.5574
2018-04-26,MSFT,0.6361
2018-04-27,MSFT,-0.3612
2018-05-07,MSFT,0.22629999999999997
2018-05-08,MSFT,0.0
2018-06-01,MSFT,0.4404
2018-06-04,MSFT,0.0
2018-06-18,MSFT,0.4215
2018-06-20,MSFT,0.4019
2018-06-25,MSFT,-0.3612
2018-07-12,MSFT,0.296
2018-07-19,MSFT,0.7501000000000001
2018-07-20,MSFT,0.2850390117528118
2018-08-29,MSFT,0.3612
