,Net Income
2024-06-30,21448000000.0
2024-03-31,23636000000.0
2023-12-31,33916000000.0
2023-09-30,22956000000.0
2023-06-30,19881000000.0
2023-03-31,


Shares Outstanding
2023-01-04 00:00:00-05:00,16526300160
2023-01-06 00:00:00-05:00,15908100096
2023-01-19 00:00:00-05:00,15836199936
2023-02-05 00:00:00-05:00,15821899776
2023-03-18 00:00:00-04:00,15903599616
2023-03-21 00:00:00-04:00,15821899776
2023-03-30 00:00:00-04:00,16135100416
2023-04-01 00:00:00-04:00,15821899776
2023-04-01 00:00:00-04:00,16063599616
2023-04-06 00:00:00-04:00,16002599936
2023-04-07 00:00:00-04:00,15821899776
2023-04-07 00:00:00-04:00,15915200512
2023-04-25 00:00:00-04:00,15851700224
2023-04-27 00:00:00-04:00,15821899776
2023-05-04 00:00:00-04:00,15924899840
2023-05-06 00:00:00-04:00,15821899776
2023-05-09 00:00:00-04:00,15735000064
2023-05-09 00:00:00-04:00,15728700416
2023-05-10 00:00:00-04:00,15728700416
2023-05-11 00:00:00-04:00,15728700416
2023-05-13 00:00:00-04:00,15818500096
2023-05-16 00:00:00-04:00,15728700416
2023-06-15 00:00:00-04:00,15783600128
2023-06-16 00:00:00-04:00,15728700416
2023-06-23 00:00:00-04:00,15818500096
2023-06-24 00:00:00-04:00,15728700416
2023-07-05 00:00:00-04:00,15838199808
2023-07-06 00:00:00-04:00,15945700352
2023-07-07 00:00:00-04:00,15728700416
2023-08-22 00:00:00-04:00,15634199552
2023-10-10 00:00:00-04:00,15634199552
2023-10-11 00:00:00-04:00,15686800384
2023-10-11 00:00:00-04:00,15634199552
2023-10-12 00:00:00-04:00,15634199552
2023-10-13 00:00:00-04:00,15634199552
2023-10-14 00:00:00-04:00,15796799488
2023-10-14 00:00:00-04:00,15634199552
2023-10-15 00:00:00-04:00,15634199552
2023-10-17 00:00:00-04:00,15772800000
2023-10-18 00:00:00-04:00,15634199552
2023-10-19 00:00:00-04:00,15750700032
2023-10-19 00:00:00-04:00,15634199552
2023-10-20 00:00:00-04:00,15634199552
2023-10-20 00:00:00-04:00,15668100096
2023-10-22 00:00:00-04:00,15634199552
2023-10-27 00:00:00-04:00,15634199552
2023-10-28 00:00:00-04:00,15634199552
2023-11-03 00:00:00-04:00,15634199552
2023-11-04 00:00:00-04:00,15634199552
2023-11-09 00:00:00-05:00,15552799744
2023-11-10 00:00:00-05:00,15552799744
2023-11-22 00:00:00-05:00,15552799744
2023-11-23 00:00:00-05:00,15552799744
2023-12-19 00:00:00-05:00,15552799744
2023-12-20 00:00:00-05:00,15552799744
2023-12-22 00:00:00-05:00,15552799744
2023-12-22 00:00:00-05:00,15564699648
2023-12-23 00:00:00-05:00,15639499776
2023-12-26 00:00:00-05:00,15552799744
2024-01-03 00:00:00-05:00,15552799744
2024-01-04 00:00:00-05:00,15552799744
2024-01-05 00:00:00-05:00,15552799744
2024-01-05 00:00:00-05:00,15752800256
2024-01-10 00:00:00-05:00,15552799744
2024-01-11 00:00:00-05:00,15552799744
2024-01-13 00:00:00-05:00,15461900288
2024-01-16 00:00:00-05:00,15462700032
2024-01-16 00:00:00-05:00,15461900288
2024-02-01 00:00:00-05:00,15461900288
2024-02-01 00:00:00-05:00,15770500096
2024-02-03 00:00:00-05:00,15441899520
2024-02-29 00:00:00-05:00,15441899520
2024-03-01 00:00:00-05:00,15441899520
2024-03-05 00:00:00-05:00,15843999744
2024-03-05 00:00:00-05:00,15441899520
2024-03-06 00:00:00-05:00,15441899520
2024-03-07 00:00:00-05:00,15441899520
2024-03-13 00:00:00-04:00,15631399936
2024-03-14 00:00:00-04:00,15441899520
2024-03-16 00:00:00-04:00,15441899520
2024-03-19 00:00:00-04:00,15441899520
2024-03-21 00:00:00-04:00,15441899520
2024-03-22 00:00:00-04:00,15441899520
2024-03-26 00:00:00-04:00,15545600000
2024-03-26 00:00:00-04:00,15441899520
2024-03-26 00:00:00-04:00,15568400384
2024-03-27 00:00:00-04:00,15441899520
2024-03-29 00:00:00-04:00,15615699968
2024-03-29 00:00:00-04:00,15441899520
2024-04-10 00:00:00-04:00,15441899520
2024-04-11 00:00:00-04:00,15441899520
2024-04-17 00:00:00-04:00,15746499584
2024-04-17 00:00:00-04:00,15441899520
2024-04-18 00:00:00-04:00,15563200512
2024-04-18 00:00:00-04:00,15441899520
2024-04-26 00:00:00-04:00,15441899520
2024-04-27 00:00:00-04:00,15441899520
2024-05-01 00:00:00-04:00,15441899520
2024-05-01 00:00:00-04:00,15759800320
2024-05-04 00:00:00-04:00,15334099968
2024-05-07 00:00:00-04:00,15475900416
2024-05-07 00:00:00-04:00,15334099968
2024-05-08 00:00:00-04:00,15334099968
2024-05-10 00:00:00-04:00,15334099968
2024-05-11 00:00:00-04:00,15467299840
2024-05-11 00:00:00-04:00,15334099968
2024-05-23 00:00:00-04:00,15334099968
2024-05-23 00:00:00-04:00,15450600448
2024-05-24 00:00:00-04:00,15334099968
2024-05-24 00:00:00-04:00,15663899648
2024-06-08 00:00:00-04:00,15334099968
2024-06-11 00:00:00-04:00,15334099968
2024-06-15 00:00:00-04:00,15450999808
2024-06-15 00:00:00-04:00,15334099968
2024-06-21 00:00:00-04:00,15334099968
2024-06-21 00:00:00-04:00,15680199680
2024-06-25 00:00:00-04:00,15334099968
2024-06-26 00:00:00-04:00,15334099968
2024-07-18 00:00:00-04:00,15731999744
2024-07-18 00:00:00-04:00,15334099968
2024-07-25 00:00:00-04:00,15410899968
2024-07-26 00:00:00-04:00,15334099968
2024-08-03 00:00:00-04:00,15204100096
2024-08-31 00:00:00-04:00,15204100096
2024-08-31 00:00:00-04:00,15256599552
2024-09-07 00:00:00-04:00,15204100096
2024-09-07 00:00:00-04:00,15309500416
2024-09-11 00:00:00-04:00,15204100096
2024-09-11 00:00:00-04:00,15259400192
2024-09-17 00:00:00-04:00,15638500352
2024-09-17 00:00:00-04:00,15204100096
2024-09-21 00:00:00-04:00,15204100096
2024-09-21 00:00:00-04:00,15250799616
2024-10-12 00:00:00-04:00,15303000064
2024-10-12 00:00:00-04:00,15204100096
2024-10-18 00:00:00-04:00,15204100096
2024-10-18 00:00:00-04:00,15228399616


Recommendations
,period,strongBuy,buy,hold,sell,strongSell
0,0m,11,21,6,0,0
1,-1m,12,24,11,1,0
2,-2m,12,23,10,1,0
3,-3m,10,24,7,1,0
